N         l1        l2        l3        q         F1        F2        wb        wc        --        M4        M5        X1        X2        
60        6.0       1.0       2.0       1         7         6         0.6       0.4       -----     -----     -----     -----     -----     
61        6.0       2.0       4.0       5         14        10        0.0       1.0       -----     -----     -----     -----     -----     
62        4.0       3.0       1.0       3         14        5         0.4       0.4       -----     -----     -----     -----     -----     
63        6.0       4.0       3.0       4         12        11        0.6       0.0       -----     -----     -----     -----     -----     
64        6.0       3.0       4.0       3         9         8         0.4       0.8       -----     -----     -----     -----     -----     
65        6.0       1.0       1.0       4         9         11        1.0       1.0       -----     -----     -----     -----     -----     
66        8.0       1.0       1.0       2         6         12        0.8       0.2       -----     -----     -----     -----     -----     
67        6.0       3.0       2.0       4         13        13        0.2       0.8       -----     -----     -----     -----     -----     
68        6.0       3.0       3.0       1         6         10        0.6       0.6       -----     -----     -----     -----     -----     
69        6.0       4.0       4.0       1         14        6         0.4       0.4       -----     -----     -----     -----     -----     
70        6.0       1.0       2.0       5         7         8         0.2       0.8       -----     -----     -----     -----     -----     
71        8.0       2.0       4.0       5         7         14        0.6       0.8       -----     -----     -----     -----     -----     
72        6.0       3.0       1.0       4         13        12        1.0       0.6       -----     -----     -----     -----     -----     
73        4.0       2.0       4.0       1         12        9         1.0       0.4       -----     -----     -----     -----     -----     
74        4.0       3.0       4.0       2         11        8         0.8       0.0       -----     -----     -----     -----     -----     
75        6.0       4.0       3.0       2         12        5         0.8       0.2       -----     -----     -----     -----     -----     
76        6.0       1.0       2.0       2         7         8         0.8       0.8       -----     -----     -----     -----     -----     
77        8.0       3.0       3.0       1         12        6         1.0       0.8       -----     -----     -----     -----     -----     
78        6.0       3.0       2.0       4         6         6         0.8       0.2       -----     -----     -----     -----     -----     
79        4.0       2.0       1.0       2         11        6         0.2       0.2       -----     -----     -----     -----     -----     
80        4.0       2.0       4.0       4         12        8         1.0       0.4       -----     -----     -----     -----     -----     
81        4.0       3.0       2.0       3         7         9         0.4       0.4       -----     -----     -----     -----     -----     
82        8.0       1.0       4.0       2         14        14        1.0       0.4       -----     -----     -----     -----     -----     
83        4.0       4.0       3.0       2         10        14        1.0       0.8       -----     -----     -----     -----     -----     
84        8.0       2.0       3.0       4         5         8         0.8       0.8       -----     -----     -----     -----     -----     
85        6.0       3.0       4.0       1         6         14        1.0       0.4       -----     -----     -----     -----     -----     
86        8.0       2.0       2.0       4         12        11        0.2       0.2       -----     -----     -----     -----     -----     
87        8.0       2.0       1.0       1         9         10        0.8       0.0       -----     -----     -----     -----     -----     
88        8.0       3.0       3.0       2         13        9         0.8       0.6       -----     -----     -----     -----     -----     
89        8.0       2.0       3.0       2         6         8         0.4       1.0       -----     -----     -----     -----     -----     
90        6.0       3.0       4.0       2         10        9         0.0       0.8       -----     -----     -----     -----     -----     
91        8.0       3.0       1.0       2         11        9         0.6       0.8       -----     -----     -----     -----     -----     
92        6.0       3.0       3.0       5         13        5         0.6       1.0       -----     -----     -----     -----     -----     
93        4.0       3.0       2.0       1         10        14        0.6       0.0       -----     -----     -----     -----     -----     
94        6.0       4.0       3.0       1         5         12        0.0       0.2       -----     -----     -----     -----     -----     
95        4.0       4.0       1.0       3         6         5         0.6       1.0       -----     -----     -----     -----     -----     
96        4.0       1.0       1.0       2         7         7         0.6       0.0       -----     -----     -----     -----     -----     
97        4.0       4.0       1.0       3         11        13        0.4       1.0       -----     -----     -----     -----     -----     
98        6.0       4.0       2.0       3         10        9         0.4       0.6       -----     -----     -----     -----     -----     
99        8.0       4.0       3.0       1         9         10        0.4       0.8       -----     -----     -----     -----     -----     
