N                   l2                  I1                  I2                  I3                  q                   F1                  F2                  F3                  Ma                  M1                  M2                  M3                  M4                  M5                  X1                  X2                  
13                  4.0                 2e-005              3e-005              3e-005              6500                3100                16000               2000                -5200.0             2492.30769231       -17200.0            -7000.0             -3000.0             -3.63797880709e-012 -1.14457831325      1658.88095862       
14                  2.0                 3e-005              4e-005              3e-005              5500                7100                19000               6000                3900.0              4718.18181818       -28100.0            -15000.0            -9000.0             0.0                 639.959839357       3787.59203481       
15                  2.0                 2e-005              2e-005              4e-005              7500                6100                19000               4500                -5850.0             2216.66666667       -21850.0            -11250.0            -6750.0             3.63797880709e-012  314.111261872       2912.2943521        
16                  3.0                 2e-005              4e-005              4e-005              5000                600                 19000               6500                5850.0              5950.0              -30150.0            -19500.0            -9750.0             0.0                 774.934728947       5052.24918114       
17                  3.0                 4e-005              4e-005              2e-005              3000                2100                8000                1500                -1900.0             766.666666667       -9900.0             -4500.0             -2250.0             -1.81898940355e-012 -160.870378686      694.75331163        
18                  3.5                 1e-005              1e-005              2e-005              6000                3100                17000               1000                9575.0              13658.3333333       -10425.0            -3250.0             -1500.0             -3.63797880709e-012 2036.48758718       3257.73332668       
19                  2.0                 4e-005              3e-005              4e-005              5000                600                 16000               6500                650.0               2250.0              -23350.0            -16250.0            -9750.0             0.0                 416.913241656       3615.75102364       
20                  3.0                 4e-005              1e-005              2e-005              5500                4100                19000               2500                14600.0             15418.1818182       -17400.0            -7500.0             -3750.0             0.0                 1443.51082578       3371.53984139       
21                  2.5                 1e-005              2e-005              4e-005              6500                7600                16000               2500                -7500.0             192.307692308       -19500.0            -6875.0             -3750.0             -3.63797880709e-012 -201.315814762      1889.17668083       
22                  3.5                 4e-005              4e-005              3e-005              7000                1100                17000               2000                75.0                8717.85714286       -11925.0            -6500.0             -3000.0             1.81898940355e-012  984.698220666       2179.86783986       
23                  2.0                 4e-005              3e-005              1e-005              5000                3100                18000               5500                9650.0              10050.0             -22350.0            -13750.0            -8250.0             0.0                 1215.85671343       3107.49624248       
24                  2.0                 3e-005              3e-005              2e-005              5000                1600                15000               5500                -850.0              1650.0              -20850.0            -13750.0            -8250.0             0.0                 138.241063644       2560.67594813       
25                  2.5                 4e-005              2e-005              4e-005              8000                7100                17000               2000                -12875.0            1187.5              -16875.0            -5500.0             -3000.0             0.0                 -735.217830149      752.558932092       
26                  2.0                 3e-005              4e-005              2e-005              5000                1600                14000               1000                10900.0             14500.0             -5100.0             -2500.0             -1500.0             0.0                 3099.66588757       3081.37023553       
27                  2.5                 4e-005              3e-005              3e-005              4500                3600                17000               3000                15500.0             15611.1111111       -16500.0            -8250.0             -4500.0             0.0                 2378.96632783       4097.0719876        
28                  3.0                 2e-005              1e-005              1e-005              5000                8100                17000               3000                2350.0              3250.0              -25650.0            -9000.0             -4500.0             0.0                 -546.725073008      1736.96417397       
29                  2.5                 4e-005              2e-005              3e-005              4000                8100                14000               3000                1875.0              2375.0              -22125.0            -8250.0             -4500.0             0.0                 -316.601201204      1911.58012753       
30                  4.0                 3e-005              3e-005              2e-005              8500                6100                19000               1000                -9700.0             3535.29411765       -17700.0            -3500.0             -1500.0             0.0                 -341.174965894      695.265603683       
31                  2.5                 1e-005              1e-005              1e-005              5500                2600                15000               4000                -3250.0             1204.54545455       -19250.0            -11000.0            -6000.0             0.0                 -6.96494546483      2216.47613608       
32                  4.0                 1e-005              4e-005              2e-005              4000                3100                14000               3000                1300.0              1800.0              -22700.0            -10500.0            -4500.0             0.0                 15.5125523013       2641.62656904       
33                  3.5                 1e-005              3e-005              2e-005              5000                600                 18000               1000                25950.0             26350.0             -6050.0             -3250.0             -1500.0             0.0                 4172.36522821       5257.95137576       
34                  2.0                 4e-005              4e-005              1e-005              7500                5600                18000               4500                -9350.0             250.0               -21350.0            -11250.0            -6750.0             0.0                 -799.033149171      944.043508287       
35                  4.0                 4e-005              1e-005              2e-005              8000                2600                17000               1000                -6700.0             7362.5              -10700.0            -3500.0             -1500.0             0.0                 14.0698178664       953.083803122       
36                  3.0                 3e-005              1e-005              4e-005              4500                6100                14000               1000                6350.0              8127.77777778       -13650.0            -3000.0             -1500.0             0.0                 812.093958713       2080.71209016       
37                  2.0                 4e-005              2e-005              4e-005              4000                600                 11000               3500                -850.0              2275.0              -12850.0            -8750.0             -5250.0             0.0                 437.126659292       2201.89320612       
38                  2.0                 2e-005              1e-005              4e-005              5000                2100                15000               4000                3900.0              6400.0              -16100.0            -10000.0            -6000.0             0.0                 1493.55828221       3783.43558282       
39                  4.0                 3e-005              1e-005              2e-005              4000                1600                10000               1000                -700.0              3800.0              -8700.0             -3500.0             -1500.0             0.0                 76.3265897718       972.06895368        
40                  3.0                 4e-005              2e-005              2e-005              5500                1100                13000               1500                -400.0              6963.63636364       -8400.0             -4500.0             -2250.0             0.0                 757.066124322       1595.1267209        
41                  4.0                 3e-005              2e-005              1e-005              6500                1600                14000               1500                -7450.0             3626.92307692       -11450.0            -5250.0             -2250.0             1.81898940355e-012  -186.428433642      714.161603009       
42                  4.0                 3e-005              3e-005              4e-005              5000                2100                19000               5000                4300.0              4400.0              -31700.0            -17500.0            -7500.0             0.0                 -96.0546532046      3892.40424715       
43                  3.0                 4e-005              4e-005              2e-005              3500                1600                12000               3000                4100.0              4671.42857143       -15900.0            -9000.0             -4500.0             3.63797880709e-012  319.241131567       1912.21935339       
44                  3.0                 2e-005              2e-005              1e-005              6000                7100                15000               1500                -5400.0             1350.0              -17400.0            -4500.0             -2250.0             0.0                 -447.653794342      687.498596767       
45                  2.5                 2e-005              2e-005              4e-005              5500                6100                18000               2000                12375.0             13829.5454545       -15625.0            -5500.0             -3000.0             -1.81898940355e-012 2560.78346798       4273.59068741       
46                  3.0                 3e-005              2e-005              1e-005              4500                100                 13000               1000                11350.0             14127.7777778       -4650.0             -3000.0             -1500.0             0.0                 2157.74275281       2467.91373239       
47                  2.0                 3e-005              1e-005              1e-005              6000                1100                19000               6000                5900.0              7983.33333333       -22100.0            -15000.0            -9000.0             -3.63797880709e-012 986.325503356       3600.77600671       
48                  3.0                 1e-005              1e-005              3e-005              4000                2100                15000               5500                100.0               225.0               -27900.0            -16500.0            -8250.0             0.0                 -182.399004003      3898.56359955       
49                  2.0                 3e-005              1e-005              3e-005              3000                100                 11000               4000                5900.0              6066.66666667       -14100.0            -10000.0            -6000.0             3.63797880709e-012  1091.79292929       3217.96085859       
50                  2.0                 4e-005              3e-005              1e-005              4500                6100                16000               5000                4400.0              4844.44444444       -23600.0            -12500.0            -7500.0             3.63797880709e-012  46.5001431434       2040.80482393       
51                  3.0                 4e-005              3e-005              1e-005              5500                100                 15000               2000                6850.0              11304.5454545       -9150.0             -6000.0             -3000.0             -1.81898940355e-012 1499.72105997       2179.22332636       
52                  2.5                 3e-005              3e-005              4e-005              6500                5600                17000               1500                3000.0              9230.76923077       -13000.0            -4125.0             -2250.0             0.0                 1527.25846092       2616.36865308       
53                  3.0                 1e-005              4e-005              1e-005              5500                100                 19000               6000                4850.0              5668.18181818       -27150.0            -18000.0            -9000.0             0.0                 622.454622341       3592.37586201       
54                  2.5                 4e-005              4e-005              3e-005              5000                3100                11000               2000                -7875.0             225.0               -11875.0            -5500.0             -3000.0             -1.81898940355e-012 -455.976927638      627.035549542       
55                  2.0                 2e-005              2e-005              4e-005              3500                3100                13000               5000                3400.0              3542.85714286       -20600.0            -12500.0            -7500.0             0.0                 685.803934871       3622.91383989       
56                  2.5                 2e-005              2e-005              2e-005              6000                3600                18000               5000                -500.0              2500.0              -24500.0            -13750.0            -7500.0             0.0                 201.567996606       3062.12490498       
57                  3.0                 4e-005              4e-005              4e-005              3000                3100                11000               1500                8600.0              8766.66666667       -11400.0            -4500.0             -2250.0             1.81898940355e-012  1161.69622485       2342.90214686       
58                  2.5                 4e-005              2e-005              2e-005              5500                7100                19000               3000                11125.0             11943.1818182       -20875.0            -8250.0             -4500.0             0.0                 1372.45856722       3244.52908099       
59                  2.5                 3e-005              2e-005              3e-005              5000                9600                18000               2000                12000.0             12400.0             -20000.0            -5500.0             -3000.0             0.0                 1674.33311773       3474.34619558       
60                  3.0                 4e-005              3e-005              4e-005              9000                7600                19000               1000                -11900.0            4155.55555556       -15900.0            -3000.0             -1500.0             5.45696821064e-012  -286.887254902      716.242121849       
61                  3.0                 3e-005              1e-005              4e-005              5000                2100                11000               1000                -3650.0             4450.0              -7650.0             -3000.0             -1500.0             -1.81898940355e-012 302.101042299       1112.64515027       
62                  2.0                 3e-005              4e-005              3e-005              7500                6100                19000               4500                -5850.0             2216.66666667       -21850.0            -11250.0            -6750.0             3.63797880709e-012  109.421017403       2306.94026104       
63                  2.0                 3e-005              4e-005              2e-005              6000                9100                18000               3500                2650.0              5650.0              -21350.0            -8750.0             -5250.0             0.0                 791.102571018       2532.72822276       
64                  4.0                 2e-005              4e-005              3e-005              4000                600                 10000               1500                -1450.0             3050.0              -9450.0             -5250.0             -2250.0             0.0                 303.149153478       1341.48244847       
65                  3.0                 3e-005              2e-005              3e-005              3500                2600                13000               1000                15600.0             15742.8571429       -8400.0             -3000.0             -1500.0             -1.81898940355e-012 2331.31565073       3258.60582188       
66                  2.5                 4e-005              1e-005              3e-005              4500                1600                17000               7000                2000.0              2111.11111111       -30000.0            -19250.0            -10500.0            0.0                 -669.970635619      3659.75594429       
67                  4.0                 3e-005              3e-005              1e-005              3500                100                 9000                1500                -450.0              3121.42857143       -8450.0             -5250.0             -2250.0             0.0                 133.071933962       894.801002358       
68                  2.0                 3e-005              3e-005              1e-005              4500                8100                17000               4000                9900.0              10011.1111111       -22100.0            -10000.0            -6000.0             0.0                 1121.66572077       2720.44906356       
69                  2.0                 1e-005              1e-005              1e-005              4000                100                 15000               2000                20900.0             21025.0             -7100.0             -5000.0             -3000.0             0.0                 4412.02229299       4975.90897028       
70                  2.5                 4e-005              4e-005              4e-005              2500                3600                9000                1500                5500.0              5700.0              -10500.0            -4125.0             -2250.0             0.0                 818.694868214       1860.59852422       
71                  4.0                 3e-005              3e-005              2e-005              5500                5100                17000               2500                50.0                2322.72727273       -23950.0            -8750.0             -3750.0             0.0                 -365.215723056      1695.83795191       
72                  3.0                 1e-005              4e-005              3e-005              5000                5600                16000               2000                6600.0              8200.0              -17400.0            -6000.0             -3000.0             0.0                 1435.1748277        3509.15725472       
73                  3.0                 1e-005              4e-005              4e-005              6500                4600                19000               3000                3600.0              7369.23076923       -20400.0            -9000.0             -4500.0             -3.63797880709e-012 1409.86404596       4012.12814308       
74                  3.0                 2e-005              4e-005              3e-005              3000                600                 9000                2500                -150.0              1350.0              -12150.0            -7500.0             -3750.0             0.0                 181.290019636       1679.27036199       
75                  2.5                 1e-005              3e-005              1e-005              3500                1100                12000               4000                2625.0              3196.42857143       -17375.0            -11000.0            -6000.0             3.63797880709e-012  408.100744846       2332.26698188       
76                  2.5                 2e-005              4e-005              1e-005              7000                600                 15000               2500                -6750.0             5321.42857143       -10750.0            -6875.0             -3750.0             1.81898940355e-012  433.444070761       1192.06853994       
77                  2.0                 2e-005              3e-005              3e-005              7000                6100                17000               2000                -1100.0             7542.85714286       -13100.0            -5000.0             -3000.0             1.81898940355e-012  1323.85950413       2318.07644628       
78                  4.0                 1e-005              2e-005              3e-005              7000                5600                16000               1000                -8700.0             1585.71428571       -16700.0            -3500.0             -1500.0             0.0                 -241.198575949      1049.79020683       
79                  3.0                 2e-005              4e-005              1e-005              6000                6100                19000               4500                -1400.0             683.333333333       -29400.0            -13500.0            -6750.0             -3.63797880709e-012 -648.811043351      1752.31483123       
80                  2.5                 4e-005              1e-005              3e-005              3500                2600                12000               1500                10750.0             11321.4285714       -9250.0             -4125.0             -2250.0             3.63797880709e-012  1670.95611339       2745.53839221       
81                  2.0                 3e-005              2e-005              1e-005              6000                8100                17000               4500                -3850.0             233.333333333       -23850.0            -11250.0            -6750.0             -3.63797880709e-012 -714.712264151      1415.38561321       
82                  2.5                 3e-005              2e-005              2e-005              7500                3100                19000               3000                125.0               8191.66666667       -15875.0            -8250.0             -4500.0             3.63797880709e-012  1121.25265643       2680.15497327       
83                  2.5                 3e-005              2e-005              4e-005              6000                5100                13000               1000                -6375.0             3708.33333333       -10375.0            -2750.0             -1500.0             -3.63797880709e-012 127.186453833       925.551518499       
84                  4.0                 4e-005              4e-005              3e-005              4500                6100                14000               1000                2300.0              4077.77777778       -17700.0            -3500.0             -1500.0             0.0                 -0.358851674642     1268.45095694       
85                  2.0                 1e-005              3e-005              2e-005              8500                2100                19000               2000                -1100.0             12135.2941176       -9100.0             -5000.0             -3000.0             -1.81898940355e-012 2155.49016163       2482.71477512       
86                  2.5                 1e-005              2e-005              3e-005              7500                4100                19000               4500                -7125.0             941.666666667       -23125.0            -12375.0            -6750.0             3.63797880709e-012  83.6025928646       2907.11953149       
87                  3.0                 4e-005              3e-005              1e-005              8500                100                 18000               2000                -5150.0             9908.82352941       -9150.0             -6000.0             -3000.0             -1.81898940355e-012 897.210599721       1551.6082636        
88                  3.0                 1e-005              3e-005              2e-005              5000                2100                17000               3500                9100.0              10000.0             -18900.0            -10500.0            -5250.0             0.0                 1690.97222222       4101.34320175       
89                  2.5                 1e-005              4e-005              1e-005              5000                5600                19000               4000                13000.0             13100.0             -23000.0            -11000.0            -6000.0             0.0                 1930.58932248       4062.27404925       
90                  3.0                 4e-005              2e-005              2e-005              4500                4100                17000               5500                1100.0              1211.11111111       -30900.0            -16500.0            -8250.0             0.0                 -1058.22382144      2391.23904881       
91                  2.5                 4e-005              3e-005              4e-005              8000                2100                19000               3000                -2625.0             7937.5              -14625.0            -8250.0             -4500.0             0.0                 1124.07540891       2692.15558561       
92                  2.0                 1e-005              4e-005              3e-005              6000                1100                19000               7500                650.0               2733.33333333       -27350.0            -18750.0            -11250.0            -3.63797880709e-012 951.001385042       4860.95256233       
93                  2.0                 3e-005              1e-005              3e-005              4500                9600                16000               4500                2650.0              3094.44444444       -25350.0            -11250.0            -6750.0             3.63797880709e-012  -48.0429292929      2974.74747475       
94                  2.0                 3e-005              3e-005              4e-005              5000                100                 12000               2000                900.0               7300.0              -7100.0             -5000.0             -3000.0             0.0                 1482.76503871       2191.48488684       
95                  2.5                 2e-005              3e-005              3e-005              5500                4600                17000               2000                10250.0             12522.7272727       -13750.0            -5500.0             -3000.0             0.0                 2347.10125229       3694.02882689       
96                  3.0                 2e-005              4e-005              1e-005              4500                5600                14000               1000                7100.0              8877.77777778       -12900.0            -3000.0             -1500.0             0.0                 1101.76807072       1739.89859594       
97                  3.0                 1e-005              2e-005              1e-005              6000                2600                15000               3000                -5400.0             1350.0              -17400.0            -9000.0             -4500.0             0.0                 -109.326369644      1547.41659561       
98                  3.0                 4e-005              3e-005              2e-005              6500                8100                15000               1000                -8650.0             657.692307692       -16650.0            -3000.0             -1500.0             0.0                 -733.647798742      246.992924528       
99                  2.5                 4e-005              2e-005              4e-005              6500                5600                18000               2000                5000.0              9923.07692308       -15000.0            -5500.0             -3000.0             1.81898940355e-012  1531.68865311       2992.61673943       
100                 3.5                 3e-005              2e-005              4e-005              7500                8100                18000               1000                -7175.0             2425.0              -19175.0            -3250.0             -1500.0             0.0                 -382.174977203      997.568398017       
101                 2.0                 4e-005              3e-005              3e-005              3000                6100                10000               2500                1150.0              1816.66666667       -14850.0            -6250.0             -3750.0             -1.81898940355e-012 44.4812009491       1534.4525689        
102                 2.0                 4e-005              4e-005              4e-005              7500                4600                19000               3000                900.0               8966.66666667       -15100.0            -7500.0             -4500.0             3.63797880709e-012  1676.75159236       3004.30599788       
103                 2.5                 3e-005              1e-005              3e-005              5500                100                 14000               4000                -4125.0             1693.18181818       -16125.0            -11000.0            -6000.0             -3.63797880709e-012 31.771064133        2383.06542925       
104                 2.5                 2e-005              4e-005              3e-005              7500                8100                19000               1500                -125.0              7941.66666667       -16125.0            -4125.0             -2250.0             3.63797880709e-012  1176.89090378       2340.483725         
105                 4.0                 2e-005              3e-005              2e-005              4000                3600                15000               1000                15300.0             15425.0             -12700.0            -3500.0             -1500.0             0.0                 1731.99155405       2989.56883446       
106                 2.0                 4e-005              4e-005              4e-005              5500                5100                15000               3500                -1350.0             3104.54545455       -17350.0            -8750.0             -5250.0             0.0                 465.76433121        2279.89981423       
107                 3.5                 2e-005              4e-005              1e-005              4500                4100                15000               3000                1825.0              2825.0              -22175.0            -9750.0             -4500.0             3.63797880709e-012  -200.507557099      1544.73388123       
108                 2.0                 2e-005              3e-005              4e-005              5500                4100                18000               4500                8150.0              9604.54545455       -19850.0            -11250.0            -6750.0             0.0                 2199.44731405       4676.60253099       
109                 3.5                 2e-005              2e-005              2e-005              4000                3100                14000               2500                6075.0              6575.0              -17925.0            -8125.0             -3750.0             0.0                 576.143650507       2547.03585508       
110                 2.5                 1e-005              2e-005              3e-005              6500                600                 18000               6000                -4750.0             173.076923077       -24750.0            -16500.0            -9000.0             0.0                 200.928571642       3697.98344689       
111                 2.5                 2e-005              2e-005              1e-005              2500                100                 9000                3000                3875.0              4075.0              -12125.0            -8250.0             -4500.0             0.0                 444.685119254       1781.09157778       
112                 4.0                 2e-005              3e-005              1e-005              6500                9600                19000               1500                -3450.0             319.230769231       -27450.0            -5250.0             -2250.0             -3.63797880709e-012 -850.60775452       726.073085157       
113                 3.0                 1e-005              1e-005              1e-005              6500                4600                18000               2500                1850.0              6773.07692308       -18150.0            -7500.0             -3750.0             0.0                 814.206077577       2585.32786248       
114                 2.0                 4e-005              1e-005              3e-005              6000                3100                19000               2000                17900.0             19983.3333333       -10100.0            -5000.0             -3000.0             -3.63797880709e-012 3991.40252454       4979.16900421       
115                 2.5                 2e-005              1e-005              3e-005              7500                600                 19000               1000                11250.0             19316.6666667       -4750.0             -2750.0             -1500.0             3.63797880709e-012  3651.56906122       4180.88616364       
116                 2.5                 2e-005              4e-005              4e-005              6000                2600                15000               3000                -3250.0             3500.0              -15250.0            -8250.0             -4500.0             0.0                 531.574947956       2207.71673476       
117                 3.5                 3e-005              4e-005              2e-005              4000                3100                14000               2000                8575.0              9075.0              -15425.0            -6500.0             -3000.0             0.0                 924.060288046       2320.97814986       
118                 2.5                 1e-005              4e-005              1e-005              4500                600                 17000               6500                5250.0              5361.11111111       -26750.0            -17875.0            -9750.0             0.0                 561.973446291       3592.8480189        
119                 2.5                 2e-005              2e-005              1e-005              3000                1600                11000               4000                2000.0              2166.66666667       -18000.0            -11000.0            -6000.0             3.63797880709e-012  -124.153338326      1813.61572124       
120                 3.0                 4e-005              3e-005              1e-005              5000                5100                17000               4000                2350.0              3250.0              -25650.0            -12000.0            -6000.0             0.0                 -605.230125523      1451.84361925       
121                 3.0                 4e-005              1e-005              3e-005              7000                2100                19000               1500                10100.0             15885.7142857       -9900.0             -4500.0             -2250.0             0.0                 2123.76353117       3354.13633819       
122                 2.0                 3e-005              3e-005              3e-005              8500                9100                19000               3000                -11600.0            1635.29411765       -19600.0            -7500.0             -4500.0             0.0                 -468.550955414      1233.04140127       
123                 2.5                 4e-005              1e-005              4e-005              8000                4100                19000               2000                -1125.0             9437.5              -13125.0            -5500.0             -3000.0             0.0                 1102.50711238       2545.20832194       
124                 2.5                 1e-005              3e-005              4e-005              4000                2100                15000               2500                15375.0             15500.0             -12625.0            -6875.0             -3750.0             0.0                 3107.62541583       5055.85698629       
125                 2.0                 4e-005              3e-005              4e-005              5000                8100                16000               1000                12400.0             14000.0             -11600.0            -2500.0             -1500.0             0.0                 2785.8196848        3485.22964308       
126                 4.0                 3e-005              2e-005              2e-005              7000                100                 18000               2000                4800.0              11942.8571429       -11200.0            -7000.0             -3000.0             1.81898940355e-012  1306.85978836       2729.4265873        
127                 3.0                 2e-005              4e-005              3e-005              5000                1100                15000               2000                9350.0              11850.0             -10650.0            -6000.0             -3000.0             0.0                 2060.4129315        3285.39309955       
128                 2.5                 4e-005              3e-005              2e-005              4500                600                 15000               1500                17250.0             18250.0             -6750.0             -4125.0             -2250.0             3.63797880709e-012  3243.35842209       3706.89389094       
129                 2.5                 2e-005              1e-005              3e-005              3000                2100                11000               2000                9375.0              9541.66666667       -10625.0            -5500.0             -3000.0             1.81898940355e-012  1596.14795904       3008.20012642       
130                 4.0                 2e-005              2e-005              4e-005              3000                1100                10000               2500                50.0                716.666666667       -15950.0            -8750.0             -3750.0             -1.81898940355e-012 -93.270631068       1985.76001214       
131                 3.5                 4e-005              2e-005              2e-005              7500                6100                19000               1000                325.0               8391.66666667       -15675.0            -3250.0             -1500.0             3.63797880709e-012  467.875797097       1533.37707686       
132                 2.0                 1e-005              1e-005              2e-005              5000                600                 18000               5500                12150.0             12550.0             -19850.0            -13750.0            -8250.0             0.0                 2825.39009498       5703.04231682       
133                 2.5                 4e-005              4e-005              4e-005              6000                3100                17000               1000                12125.0             16208.3333333       -7875.0             -2750.0             -1500.0             -3.63797880709e-012 3024.95182874       3537.06291395       
134                 2.0                 1e-005              4e-005              2e-005              4000                3600                15000               3000                13900.0             14025.0             -14100.0            -7500.0             -4500.0             0.0                 2972.45756719       4547.91106789       
135                 4.0                 2e-005              1e-005              1e-005              3500                3100                11000               2000                -1200.0             85.7142857143       -17200.0            -7000.0             -3000.0             0.0                 -667.381542273      914.55752555        
136                 2.5                 1e-005              3e-005              2e-005              5000                4100                16000               3500                4875.0              6475.0              -19125.0            -9625.0             -5250.0             0.0                 1239.736529         3488.89666792       
137                 2.0                 1e-005              2e-005              4e-005              7000                1100                18000               5500                -4350.0             2792.85714286       -20350.0            -13750.0            -8250.0             0.0                 783.527090444       3589.89929963       
138                 2.5                 2e-005              3e-005              4e-005              7500                4600                16000               2000                -9750.0             3316.66666667       -13750.0            -5500.0             -3000.0             -1.81898940355e-012 7.51150396625       1181.27902978       
139                 2.0                 3e-005              4e-005              4e-005              5000                2100                17000               1000                22400.0             23300.0             -5600.0             -2500.0             -1500.0             0.0                 5112.64058008       5258.20570142       
140                 3.0                 3e-005              3e-005              1e-005              5000                6600                18000               2500                10850.0             11250.0             -21150.0            -7500.0             -3750.0             0.0                 883.287963939       2278.13158588       
141                 2.0                 3e-005              1e-005              4e-005              9000                5600                19000               1000                -5100.0             10955.5555556       -9100.0             -2500.0             -1500.0             5.45696821064e-012  1483.36702606       2100.06738544       
142                 2.0                 4e-005              1e-005              1e-005              3500                100                 11000               3000                5400.0              6685.71428571       -10600.0            -7500.0             -4500.0             0.0                 926.900826446       2150.27892562       
143                 2.0                 1e-005              4e-005              2e-005              3000                100                 10000               4000                1900.0              2566.66666667       -14100.0            -10000.0            -6000.0             -1.81898940355e-012 651.364922207       2542.08981612       
144                 2.0                 4e-005              4e-005              1e-005              5000                9100                16000               1500                9650.0              11250.0             -14350.0            -3750.0             -2250.0             0.0                 1760.70441989       2192.46086556       
145                 2.0                 1e-005              3e-005              3e-005              6000                4100                17000               1500                10650.0             14733.3333333       -9350.0             -3750.0             -2250.0             -3.63797880709e-012 3372.93481219       4077.06348666       
146                 3.0                 3e-005              2e-005              3e-005              6500                3600                18000               1000                10100.0             15023.0769231       -9900.0             -3000.0             -1500.0             1.81898940355e-012  2324.1777183        3228.21511133       
147                 3.0                 3e-005              4e-005              2e-005              6500                6100                18000               1000                6350.0              11273.0769231       -13650.0            -3000.0             -1500.0             1.81898940355e-012  1524.9374638        2303.43413829       
148                 2.0                 1e-005              2e-005              4e-005              8000                6600                17000               2500                -11350.0            2712.5              -15350.0            -6250.0             -3750.0             0.0                 -105.604735495      1269.64457125       
149                 3.0                 4e-005              4e-005              3e-005              3500                5100                13000               3000                2850.0              2992.85714286       -21150.0            -9000.0             -4500.0             0.0                 -167.735710347      1928.08479599       
150                 2.5                 1e-005              2e-005              3e-005              4500                6600                15000               1500                9750.0              10750.0             -14250.0            -4125.0             -2250.0             3.63797880709e-012  2071.50958421       3684.39619111       
151                 2.0                 1e-005              3e-005              1e-005              7000                4100                18000               1000                8400.0              15542.8571429       -7600.0             -2500.0             -1500.0             1.81898940355e-012  3204.88107037       3163.54992567       
152                 4.0                 3e-005              3e-005              2e-005              5000                2600                14000               2000                -200.0              3400.0              -16200.0            -7000.0             -3000.0             0.0                 44.5259208731       1536.23379945       
153                 2.5                 1e-005              4e-005              3e-005              4000                4100                15000               5500                875.0               1000.0              -27125.0            -15125.0            -8250.0             0.0                 130.91496892        3981.99335561       
154                 3.5                 2e-005              1e-005              3e-005              5000                4100                19000               2000                18825.0             18925.0             -17175.0            -6500.0             -3000.0             0.0                 2195.22506839       4394.19246109       
155                 2.0                 2e-005              2e-005              2e-005              5000                9100                15000               2500                2150.0              4650.0              -17850.0            -6250.0             -3750.0             0.0                 708.598726115       2314.3677017        
156                 2.5                 1e-005              3e-005              2e-005              6000                4100                14000               2500                -7125.0             1208.33333333       -15125.0            -6875.0             -3750.0             -1.81898940355e-012 -108.402737743      1318.27527869       
157                 3.0                 1e-005              1e-005              1e-005              6500                5100                19000               2000                7350.0              11119.2307692       -16650.0            -6000.0             -3000.0             -3.63797880709e-012 1588.30636797       3136.35462041       
158                 2.5                 1e-005              1e-005              4e-005              6500                4100                16000               2500                -3125.0             4567.30769231       -15125.0            -6875.0             -3750.0             -3.63797880709e-012 745.967022605       2549.87351816       
159                 2.0                 1e-005              2e-005              1e-005              7500                1100                19000               5500                -4350.0             3716.66666667       -20350.0            -13750.0            -8250.0             3.63797880709e-012  589.033975659       2740.23305443       
160                 3.0                 3e-005              3e-005              1e-005              2000                600                 7000                2500                -150.0              100.0               -12150.0            -7500.0             -3750.0             0.0                 -397.885200796      796.769625922       
